title,description,url,category
Aider,"Open-source terminal coding agent that edits files, runs commands, and iterates against your codebase.",https://aider.chat/,coding_agents
Akiflow,Productivity workspace that unifies tasks and calendar planning for focused execution.,https://akiflow.com/,notes_productivity
Amazon Q Developer,"AWS coding assistant with agentic workflows for code generation, modernization, and troubleshooting.",https://aws.amazon.com/q/developer/,coding_agents
Amp,Coding agent focused on autonomous code edits and multi-step software tasks from natural language.,https://ampcode.com/,coding_agents
Amplenote,Notes and task manager combining idea capture with planning and calendar workflows.,https://www.amplenote.com/,notes_productivity
Anytype,Local-first note and knowledge app for organizing personal information and projects.,https://anytype.io/,notes_productivity
Apple Notes,"Apple’s built-in note-taking app for capture, organization, and cross-device sync.",https://apps.apple.com/us/app/notes/id1110145109,notes_productivity
Asana,"Work management platform for project planning, tracking, and team productivity.",https://asana.com/,notes_productivity
Augment Code,AI coding platform for larger codebases with repository-aware assistance and agentic execution modes.,https://www.augmentcode.com/,coding_agents
Avoma,AI meeting assistant and conversation intelligence platform for team productivity.,https://www.avoma.com/,notes_productivity
Bardeen,AI workflow automation app for productivity tasks across tools and browser workflows.,https://www.bardeen.ai/,notes_productivity
Bear,Markdown-focused note-taking app for Apple devices with fast tagging and organization.,https://bear.app/,notes_productivity
Bito,AI coding assistant for developers with code generation and review support inside development workflows.,https://bito.ai/,coding_agents
Bolt.new,Prompt-to-app builder that generates full-stack applications directly in the browser.,https://bolt.new/,coding_agents
Capacities,Object-based knowledge app for note-taking and personal knowledge management.,https://capacities.io/,notes_productivity
Claude Code,Anthropic’s coding agent product for terminal and IDE-driven software engineering tasks.,https://www.anthropic.com/claude-code,coding_agents
ClickUp,"All-in-one productivity platform for tasks, docs, and team planning.",https://clickup.com/,notes_productivity
Cline,"Open-source autonomous coding agent extension for editor-based planning, editing, and command execution.",https://cline.bot/,coding_agents
Clockwise,AI calendar assistant for optimizing meeting schedules and focus time.,https://www.getclockwise.com/,notes_productivity
Coda,"Collaborative docs platform for notes, planning, and structured productivity workflows.",https://coda.io/,notes_productivity
Codeium,AI coding platform with code generation and assistant capabilities across IDEs.,https://codeium.com/,coding_agents
CodeRabbit,AI code review agent that analyzes pull requests and suggests concrete fixes.,https://coderabbit.ai/,coding_agents
Codex,"OpenAI coding agent platform for parallel software tasks across CLI, IDE, cloud, and desktop workflows.",https://openai.com/codex/,coding_agents
Continue,Open-source developer assistant framework used to create agent-like coding workflows in the IDE.,https://continue.dev/,coding_agents
Craft,"Writing and documents app for note-taking, publishing, and personal organization.",https://www.craft.do/,notes_productivity
Cursor,"AI code editor with agentic workflows for planning, editing, and executing software tasks.",https://cursor.com/,coding_agents
Databutton,AI app builder that generates and deploys full-stack products from product intent and prompts.,https://databutton.com/,coding_agents
Day One,"Journaling app for capturing daily notes, memories, and reflections.",https://dayoneapp.com/,notes_productivity
Devin,Autonomous software engineering agent designed to complete coding tasks end to end.,https://devin.ai/,coding_agents
Drafts,Capture-first text app for quickly collecting notes and routing them into workflows.,https://getdrafts.com/,notes_productivity
Evernote,"Note-taking app for capturing documents, ideas, and personal knowledge.",https://evernote.com/,notes_productivity
Factory,AI-native software development platform for agentic engineering and code automation.,https://www.factory.ai/,coding_agents
Fathom,AI meeting assistant that records calls and produces searchable summaries and action items.,https://fathom.video/,notes_productivity
Fellow,"Meeting productivity platform with AI note capture, agendas, and follow-up workflows.",https://fellow.app/,notes_productivity
Fibery,"Connected workspace for knowledge, projects, and process documentation.",https://fibery.io/,notes_productivity
Firebase Studio,Google’s AI-assisted app development workspace for generating and iterating product code.,https://firebase.studio/,coding_agents
Fireflies.ai,"AI meeting assistant for automatic transcription, summaries, and searchable conversation notes.",https://fireflies.ai/,notes_productivity
Gemini Code Assist,"Google coding assistant for code completion, generation, and development guidance in IDE workflows.",https://cloud.google.com/products/gemini/code-assist,coding_agents
GitHub Copilot,"GitHub’s AI coding assistant with chat, edits, and agentic coding capabilities in developer tools.",https://github.com/features/copilot,coding_agents
GitLab Duo,"GitLab’s AI development suite supporting code suggestions, explanations, and workflow automation.",https://about.gitlab.com/gitlab-duo/,coding_agents
GoCodeo,AI coding agent tool for accelerating feature delivery and coding workflows.,https://www.gocodeo.com/,coding_agents
Google Jules,Google’s asynchronous coding agent designed to tackle software tasks in parallel.,https://jules.google/,coding_agents
Google Keep,"Google’s note app for quick capture, lists, and lightweight organization.",https://keep.google.com/,notes_productivity
Goose,Open-source local coding agent from Block for autonomous software engineering workflows.,https://block.github.io/goose/,coding_agents
Granola,AI note-taking app that turns meeting audio into structured notes and decisions.,https://www.granola.ai/,notes_productivity
Heptabase,Visual thinking and note-taking app for deep research and knowledge structuring.,https://heptabase.com/,notes_productivity
iA Writer,Focused writing and note app emphasizing distraction-free drafting.,https://ia.net/writer,notes_productivity
JetBrains Junie,JetBrains AI coding agent designed for software development workflows in JetBrains IDEs.,https://www.jetbrains.com/junie/,coding_agents
Joplin,Open-source note-taking and to-do app with local-first synchronization options.,https://joplinapp.org/,notes_productivity
Kilo Code,Open-source coding agent available in terminal and IDE environments for automated coding tasks.,https://kilocode.ai/,coding_agents
Linear,Project planning and issue tracking tool for software and product teams.,https://linear.app/,notes_productivity
Logseq,Open-source outliner and knowledge base app for linked thought and note organization.,https://logseq.com/,notes_productivity
Lovable,AI product builder that turns prompts into editable full-stack applications.,https://lovable.dev/,coding_agents
Magic,AI software platform building autonomous coding systems for enterprise engineering tasks.,https://magic.dev/,coding_agents
Make,No-code automation platform for connecting apps and productivity workflows.,https://www.make.com/,notes_productivity
MarsCode,AI coding assistant and development environment for code generation and debugging support.,https://www.marscode.com/,coding_agents
Mem,AI note app for capturing ideas and retrieving context across personal knowledge.,https://mem.ai/,notes_productivity
Microsoft Loop,"Collaborative workspace app for shared notes, components, and team planning.",https://www.microsoft.com/en-us/microsoft-loop,notes_productivity
Milanote,"Visual workspace for organizing notes, ideas, and creative project planning.",https://milanote.com/,notes_productivity
